,portfolio_value,returns
2015-01-08 21:00:00+00:00,1000000.0,0.0
2015-01-09 21:00:00+00:00,1000000.0,0.0
2015-01-12 21:00:00+00:00,1000000.0,0.0
2015-01-13 21:00:00+00:00,1000000.0,0.0
2015-01-14 21:00:00+00:00,1000000.0,0.0
2015-01-15 21:00:00+00:00,1000000.0,0.0
2015-01-16 21:00:00+00:00,1000000.0,0.0
2015-01-20 21:00:00+00:00,1000000.0,0.0
2015-01-21 21:00:00+00:00,1000000.0,0.0
2015-01-22 21:00:00+00:00,1000000.0,0.0
2015-01-23 21:00:00+00:00,1000000.0,0.0
2015-01-26 21:00:00+00:00,1000000.0,0.0
2015-01-27 21:00:00+00:00,1000000.0,0.0
2015-01-28 21:00:00+00:00,1000000.0,0.0
2015-01-29 21:00:00+00:00,1000000.0,0.0
2015-01-30 21:00:00+00:00,1000000.0,0.0
2015-02-02 21:00:00+00:00,1000000.0,0.0
2015-02-03 21:00:00+00:00,1000000.0,0.0
2015-02-04 21:00:00+00:00,1000000.0,0.0
2015-02-05 21:00:00+00:00,1000000.0,0.0
2015-02-06 21:00:00+00:00,1000000.0,0.0
2015-02-09 21:00:00+00:00,1000000.0,0.0
2015-02-10 21:00:00+00:00,999999.5999999996,-4.0000000034456917e-07
2015-02-11 21:00:00+00:00,997096.8139999995,-0.002902787161114917
2015-02-12 21:00:00+00:00,985331.6219999997,-0.011799447992218548
2015-02-13 21:00:00+00:00,988620.5069999996,0.0033378457836603648
2015-02-17 21:00:00+00:00,989474.0269999998,0.0008633444218046904
2015-02-18 21:00:00+00:00,996854.9739999995,0.007459465128537124
2015-02-19 21:00:00+00:00,994321.867,-0.0025410988218628194
2015-02-20 21:00:00+00:00,992281.5989999997,-0.0020519190693814027
2015-02-23 21:00:00+00:00,1006258.8829999996,0.014086005438462168
2015-02-24 21:00:00+00:00,1000455.2939999995,-0.005767490948947129
2015-02-25 21:00:00+00:00,1002221.8959999993,0.001765798042745681
2015-02-26 21:00:00+00:00,1003897.0159999997,0.0016714063090081943
2015-02-27 21:00:00+00:00,1002926.2829999996,-0.0009669647230031719
2015-03-02 21:00:00+00:00,1002684.4569999995,-0.0002411204134333822
2015-03-03 21:00:00+00:00,1001915.5049999998,-0.0007668933078909257
2015-03-04 21:00:00+00:00,1022249.3989999999,0.020295018790032593
2015-03-05 21:00:00+00:00,1014186.9839999997,-0.007886935426801966
2015-03-06 21:00:00+00:00,1003362.4309999997,-0.010673133426843506
2015-03-09 20:00:00+00:00,997251.2549999998,-0.0060906964534334085
2015-03-10 20:00:00+00:00,1008236.7929999997,0.011015817673751593
